latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.57997,-54.38692,307.48,2.51,1.52,2022-05-28,0134,T,72,6.1NRT,292.02,30.56,N
-12.05976,-54.297,301.87,2.43,1.5,2022-05-28,0134,T,45,6.1NRT,291.26,16.61,N
-10.52721,-44.69526,301.09,1.23,1.1,2022-05-28,0134,T,37,6.1NRT,288.63,6.71,N
-11.42168,-52.03946,347.47,1.6,1.24,2022-05-28,0134,T,100,6.1NRT,294.23,111.81,N
-11.4235,-52.05396,308.26,1.6,1.25,2022-05-28,0134,T,37,6.1NRT,292.3,14.01,N
-11.4087,-52.0265,352.11,1.59,1.24,2022-05-28,0134,T,100,6.1NRT,293.14,129.4,N
-11.41051,-52.041,361.71,1.6,1.24,2022-05-28,0134,T,100,6.1NRT,295.11,178.39,N
-11.41232,-52.05555,309.42,1.6,1.25,2022-05-28,0134,T,61,6.1NRT,292.68,15.7,N
-11.39754,-52.02802,351.11,1.59,1.24,2022-05-28,0134,T,100,6.1NRT,292.74,124.81,N
-11.39933,-52.04251,338.14,1.6,1.24,2022-05-28,0134,T,100,6.1NRT,293.58,77.22,N
-11.3958,-52.01978,310.83,1.59,1.24,2022-05-28,0134,T,81,6.1NRT,291.75,18.68,N
-11.3977,-52.03423,346.78,1.59,1.24,2022-05-28,0134,T,100,6.1NRT,293.53,108.57,N
-11.3996,-52.04872,313.49,1.6,1.24,2022-05-28,0134,T,87,6.1NRT,292.99,22.18,N
-11.63991,-55.00096,320.66,2.71,1.58,2022-05-28,0134,T,100,6.1NRT,291.81,79.03,N
-11.6257,-55.0025,332.35,2.71,1.58,2022-05-28,0134,T,100,6.1NRT,291.77,136.57,N
-11.60015,-55.03042,327.58,2.73,1.58,2022-05-28,0134,T,100,6.1NRT,292.24,112.2,N
-10.86354,-49.23791,310.15,1.08,1.04,2022-05-28,0134,T,79,6.1NRT,292.53,10.21,N
-10.83448,-49.09273,310.02,1.07,1.03,2022-05-28,0134,T,79,6.1NRT,293.47,10.08,N
-11.59365,-55.01296,307.16,2.71,1.58,2022-05-28,0134,T,70,6.1NRT,290.85,32.49,N
-11.59667,-55.03753,315.35,2.73,1.58,2022-05-28,0134,T,91,6.1NRT,291.77,58.78,N
-11.47245,-54.47891,302.13,2.46,1.51,2022-05-28,0134,T,47,6.1NRT,290.52,17.98,N
-11.13301,-52.46641,321.5,1.7,1.28,2022-05-28,0134,T,100,6.1NRT,291.89,41.34,N
-11.13496,-52.4818,308.82,1.7,1.28,2022-05-28,0134,T,76,6.1NRT,291.64,18.42,N
-11.12345,-52.48336,328.23,1.7,1.28,2022-05-28,0134,T,100,6.1NRT,292.41,57.12,N
-11.35675,-54.38665,301.84,2.41,1.5,2022-05-28,0134,T,45,6.1NRT,290.74,15.5,N
